,Pts,season,round,team,Form
122,14,2022,Matchweek 8,Tottenham,4
123,13,2022,Matchweek 8,Brighton,6
124,13,2022,Matchweek 8,Man Utd,7
125,12,2022,Matchweek 8,Liverpool,7
126,12,2022,Matchweek 8,Brentford,7
127,11,2022,Matchweek 8,Fulham,6
128,10,2022,Matchweek 8,Chelsea,3
129,8,2022,Matchweek 8,Leeds,1
130,7,2022,Matchweek 8,Newcastle,2
131,7,2022,Matchweek 8,Crystal Palace,3
132,7,2022,Matchweek 8,Southampton,3
133,7,2022,Matchweek 8,Bournemouth,4
134,6,2022,Matchweek 8,Wolves,4
135,4,2022,Matchweek 8,Aston Villa,1
136,4,2022,Matchweek 8,West Ham,4
137,4,2022,Matchweek 8,Everton,2
138,4,2022,Matchweek 8,Nottm Forest,0
139,1,2022,Matchweek 8,Leicester,0
140,21,2022,Matchweek 9,Arsenal,6
141,20,2022,Matchweek 9,Man City,7
142,17,2022,Matchweek 9,Tottenham,6
143,16,2022,Matchweek 9,Brighton,6
144,14,2022,Matchweek 9,Fulham,6
145,14,2022,Matchweek 9,Man Utd,5
146,12,2022,Matchweek 9,Liverpool,7
147,12,2022,Matchweek 9,Brentford,6
148,10,2022,Matchweek 9,Chelsea,3
149,9,2022,Matchweek 9,Leeds,2
150,8,2022,Matchweek 9,Newcastle,2
151,8,2022,Matchweek 9,Bournemouth,5
152,7,2022,Matchweek 9,Crystal Palace,2
153,7,2022,Matchweek 9,Aston Villa,4
154,7,2022,Matchweek 9,Everton,4
155,7,2022,Matchweek 9,Southampton,0
156,6,2022,Matchweek 9,Wolves,3
157,4,2022,Matchweek 9,West Ham,1
158,4,2022,Matchweek 9,Nottm Forest,0
159,1,2022,Matchweek 9,Leicester,0
160,24,2022,Matchweek 10,Arsenal,9
161,23,2022,Matchweek 10,Man City,9
162,17,2022,Matchweek 10,Tottenham,3
163,17,2022,Matchweek 10,Brighton,7
164,14,2022,Matchweek 10,Fulham,6
165,14,2022,Matchweek 10,Man Utd,2
166,13,2022,Matchweek 10,Liverpool,5
167,13,2022,Matchweek 10,Brentford,4
168,13,2022,Matchweek 10,Chelsea,6
169,11,2022,Matchweek 10,Newcastle,5
170,10,2022,Matchweek 10,Leeds,2
171,10,2022,Matchweek 10,Everton,6
172,9,2022,Matchweek 10,Bournemouth,5
173,8,2022,Matchweek 10,Aston Villa,5
