,Pts,season,round,team,Form
613,2,2021,Matchweek 4,Crystal Palace,2
614,2,2021,Matchweek 4,Leeds,2
615,1,2021,Matchweek 4,Burnley,1
616,1,2021,Matchweek 4,Newcastle,1
617,0,2021,Matchweek 4,Wolves,0
618,0,2021,Matchweek 4,Norwich,0
619,0,2021,Matchweek 4,Arsenal,0
620,10,2021,Matchweek 5,Man Utd,7
621,10,2021,Matchweek 5,Chelsea,7
622,10,2021,Matchweek 5,Liverpool,7
623,10,2021,Matchweek 5,Everton,7
624,9,2021,Matchweek 5,Man City,9
625,9,2021,Matchweek 5,Brighton,6
626,9,2021,Matchweek 5,Tottenham,6
627,8,2021,Matchweek 5,West Ham,5
628,6,2021,Matchweek 5,Leicester,3
629,5,2021,Matchweek 5,Brentford,2
630,5,2021,Matchweek 5,Crystal Palace,5
631,4,2021,Matchweek 5,Aston Villa,4
632,3,2021,Matchweek 5,Wolves,3
633,3,2021,Matchweek 5,Southampton,3
634,3,2021,Matchweek 5,Watford,0
635,3,2021,Matchweek 5,Arsenal,3
636,2,2021,Matchweek 5,Leeds,2
637,1,2021,Matchweek 5,Burnley,1
638,1,2021,Matchweek 5,Newcastle,1
639,0,2021,Matchweek 5,Norwich,0
640,13,2021,Matchweek 6,Chelsea,7
641,13,2021,Matchweek 6,Liverpool,7
642,13,2021,Matchweek 6,Man Utd,9
643,12,2021,Matchweek 6,Brighton,6
644,10,2021,Matchweek 6,Man City,7
645,10,2021,Matchweek 6,Everton,6
646,9,2021,Matchweek 6,Tottenham,3
647,8,2021,Matchweek 6,West Ham,2
648,8,2021,Matchweek 6,Brentford,4
649,7,2021,Matchweek 6,Aston Villa,4
650,6,2021,Matchweek 6,Watford,3
651,6,2021,Matchweek 6,Leicester,3
652,6,2021,Matchweek 6,Arsenal,6
653,5,2021,Matchweek 6,Crystal Palace,4
654,4,2021,Matchweek 6,Southampton,3
655,3,2021,Matchweek 6,Wolves,3
656,3,2021,Matchweek 6,Leeds,2
657,2,2021,Matchweek 6,Newcastle,2
658,1,2021,Matchweek 6,Burnley,1
659,0,2021,Matchweek 6,Norwich,0
660,14,2021,Matchweek 7,Liverpool,7
661,13,2021,Matchweek 7,Man City,7
662,13,2021,Matchweek 7,Chelsea,6
663,13,2021,Matchweek 7,Man Utd,6
664,13,2021,Matchweek 7,Everton,6
665,13,2021,Matchweek 7,Brighton,7
666,11,2021,Matchweek 7,West Ham,4
667,10,2021,Matchweek 7,Aston Villa,6
668,9,2021,Matchweek 7,Brentford,4
669,9,2021,Matchweek 7,Arsenal,9
670,9,2021,Matchweek 7,Tottenham,0
671,7,2021,Matchweek 7,Watford,4
672,7,2021,Matchweek 7,Leicester,1
673,6,2021,Matchweek 7,Wolves,6
674,6,2021,Matchweek 7,Crystal Palace,4
675,4,2021,Matchweek 7,Southampton,2
676,3,2021,Matchweek 7,Newcastle,2
677,3,2021,Matchweek 7,Leeds,1
678,2,2021,Matchweek 7,Burnley,1
679,0,2021,Matchweek 7,Norwich,0
680,16,2021,Matchweek 8,Chelsea,6
681,15,2021,Matchweek 8,Liverpool,5
682,14,2021,Matchweek 8,Man City,5
683,14,2021,Matchweek 8,Man Utd,4
684,14,2021,Matchweek 8,Everton,4
685,14,2021,Matchweek 8,Brighton,5
686,12,2021,Matchweek 8,Brentford,7
687,12,2021,Matchweek 8,Tottenham,3
688,11,2021,Matchweek 8,West Ham,3
689,10,2021,Matchweek 8,Aston Villa,6
690,10,2021,Matchweek 8,Arsenal,7
691,9,2021,Matchweek 8,Wolves,6
692,8,2021,Matchweek 8,Leicester,2
693,7,2021,Matchweek 8,Crystal Palace,2
694,7,2021,Matchweek 8,Watford,4
695,6,2021,Matchweek 8,Leeds,4
696,4,2021,Matchweek 8,Southampton,1
697,3,2021,Matchweek 8,Burnley,2
698,3,2021,Matchweek 8,Newcastle,2
699,1,2021,Matchweek 8,Norwich,1
700,19,2021,Matchweek 9,Chelsea,6
701,18,2021,Matchweek 9,Liverpool,5
702,17,2021,Matchweek 9,Man City,7
703,15,2021,Matchweek 9,Brighton,3
704,15,2021,Matchweek 9,Tottenham,6
705,14,2021,Matchweek 9,Man Utd,1
706,14,2021,Matchweek 9,West Ham,6
707,14,2021,Matchweek 9,Everton,4
708,12,2021,Matchweek 9,Brentford,4
709,12,2021,Matchweek 9,Wolves,9
710,11,2021,Matchweek 9,Leicester,5
711,11,2021,Matchweek 9,Arsenal,5
712,10,2021,Matchweek 9,Aston Villa,3
713,8,2021,Matchweek 9,Crystal Palace,3
714,7,2021,Matchweek 9,Southampton,3
715,7,2021,Matchweek 9,Watford,1
716,6,2021,Matchweek 9,Leeds,3
717,3,2021,Matchweek 9,Burnley,2
718,3,2021,Matchweek 9,Newcastle,1
719,2,2021,Matchweek 9,Norwich,2
720,22,2021,Matchweek 10,Chelsea,9
721,21,2021,Matchweek 10,Liverpool,7
722,20,2021,Matchweek 10,Man City,7
723,17,2021,Matchweek 10,West Ham,6
724,15,2021,Matchweek 10,Brighton,2
725,15,2021,Matchweek 10,Tottenham,6
726,14,2021,Matchweek 10,Man Utd,1
727,14,2021,Matchweek 10,Everton,1
728,14,2021,Matchweek 10,Leicester,7
729,14,2021,Matchweek 10,Arsenal,5
730,13,2021,Matchweek 10,Wolves,7
731,12,2021,Matchweek 10,Brentford,3
732,10,2021,Matchweek 10,Aston Villa,0
733,10,2021,Matchweek 10,Watford,3
734,9,2021,Matchweek 10,Crystal Palace,3
735,8,2021,Matchweek 10,Southampton,4
736,7,2021,Matchweek 10,Leeds,4
737,4,2021,Matchweek 10,Burnley,2
738,4,2021,Matchweek 10,Newcastle,1
739,2,2021,Matchweek 10,Norwich,2
740,25,2021,Matchweek 11,Chelsea,9
741,22,2021,Matchweek 11,Liverpool,7
742,20,2021,Matchweek 11,Man City,6
743,20,2021,Matchweek 11,West Ham,9
744,17,2021,Matchweek 11,Man Utd,3
745,17,2021,Matchweek 11,Arsenal,7
746,16,2021,Matchweek 11,Wolves,7
747,16,2021,Matchweek 11,Brighton,2
748,15,2021,Matchweek 11,Tottenham,3
749,14,2021,Matchweek 11,Everton,0
750,14,2021,Matchweek 11,Leicester,6
751,12,2021,Matchweek 11,Brentford,0
752,12,2021,Matchweek 11,Crystal Palace,5
753,11,2021,Matchweek 11,Southampton,7
754,10,2021,Matchweek 11,Aston Villa,0
755,10,2021,Matchweek 11,Watford,3
756,10,2021,Matchweek 11,Leeds,4
757,7,2021,Matchweek 11,Burnley,4
758,4,2021,Matchweek 11,Newcastle,1
759,2,2021,Matchweek 11,Norwich,1
760,26,2021,Matchweek 12,Chelsea,7
761,23,2021,Matchweek 12,Man City,6
762,23,2021,Matchweek 12,West Ham,9
763,22,2021,Matchweek 12,Liverpool,4
764,20,2021,Matchweek 12,Arsenal,9
765,17,2021,Matchweek 12,Man Utd,3
766,17,2021,Matchweek 12,Brighton,2
767,16,2021,Matchweek 12,Wolves,4
768,16,2021,Matchweek 12,Tottenham,1
769,15,2021,Matchweek 12,Crystal Palace,7
770,15,2021,Matchweek 12,Everton,1
771,15,2021,Matchweek 12,Leicester,4
772,14,2021,Matchweek 12,Southampton,7
773,12,2021,Matchweek 12,Brentford,0
774,11,2021,Matchweek 12,Leeds,5
775,10,2021,Matchweek 12,Aston Villa,0
776,10,2021,Matchweek 12,Watford,3
777,8,2021,Matchweek 12,Burnley,5
778,5,2021,Matchweek 12,Newcastle,2
779,5,2021,Matchweek 12,Norwich,3
780,29,2021,Matchweek 13,Chelsea,7
781,26,2021,Matchweek 13,Man City,6
782,25,2021,Matchweek 13,Liverpool,4
783,23,2021,Matchweek 13,West Ham,6
784,20,2021,Matchweek 13,Arsenal,6
785,19,2021,Matchweek 13,Wolves,6
786,19,2021,Matchweek 13,Tottenham,4
787,17,2021,Matchweek 13,Man Utd,3
788,17,2021,Matchweek 13,Brighton,2
789,16,2021,Matchweek 13,Crystal Palace,7
790,15,2021,Matchweek 13,Everton,1
791,15,2021,Matchweek 13,Leicester,1
792,14,2021,Matchweek 13,Southampton,6
793,13,2021,Matchweek 13,Brentford,1
794,13,2021,Matchweek 13,Aston Villa,3
795,13,2021,Matchweek 13,Watford,3
796,11,2021,Matchweek 13,Leeds,4
797,9,2021,Matchweek 13,Burnley,5
798,8,2021,Matchweek 13,Norwich,6
799,6,2021,Matchweek 13,Newcastle,2
800,30,2021,Matchweek 14,Chelsea,5
801,29,2021,Matchweek 14,Man City,9
802,28,2021,Matchweek 14,Liverpool,6
803,23,2021,Matchweek 14,West Ham,3
804,23,2021,Matchweek 14,Arsenal,6
805,20,2021,Matchweek 14,Wolves,4
806,19,2021,Matchweek 14,Tottenham,4
807,18,2021,Matchweek 14,Man Utd,1
808,18,2021,Matchweek 14,Brighton,2
809,18,2021,Matchweek 14,Leicester,4
810,16,2021,Matchweek 14,Crystal Palace,4
811,16,2021,Matchweek 14,Brentford,4
812,16,2021,Matchweek 14,Aston Villa,6
813,15,2021,Matchweek 14,Everton,1
814,14,2021,Matchweek 14,Southampton,3
815,13,2021,Matchweek 14,Watford,3
816,12,2021,Matchweek 14,Burnley,5
817,12,2021,Matchweek 14,Leeds,2
818,9,2021,Matchweek 14,Norwich,7
819,6,2021,Matchweek 14,Newcastle,2
820,33,2021,Matchweek 15,Chelsea,7
821,32,2021,Matchweek 15,Man City,9
822,31,2021,Matchweek 15,Liverpool,9
823,24,2021,Matchweek 15,West Ham,1
824,23,2021,Matchweek 15,Arsenal,3
825,22,2021,Matchweek 15,Tottenham,6
826,21,2021,Matchweek 15,Man Utd,4
827,21,2021,Matchweek 15,Wolves,5
828,19,2021,Matchweek 15,Brighton,2
829,19,2021,Matchweek 15,Leicester,4
830,16,2021,Matchweek 15,Crystal Palace,1
831,16,2021,Matchweek 15,Brentford,4
832,16,2021,Matchweek 15,Aston Villa,6
833,15,2021,Matchweek 15,Everton,0
834,15,2021,Matchweek 15,Leeds,4
835,15,2021,Matchweek 15,Southampton,1
836,13,2021,Matchweek 15,Burnley,5
837,13,2021,Matchweek 15,Watford,3
838,10,2021,Matchweek 15,Norwich,5
839,7,2021,Matchweek 15,Newcastle,2
840,35,2021,Matchweek 16,Man City,9
841,34,2021,Matchweek 16,Liverpool,9
842,33,2021,Matchweek 16,Chelsea,4
843,27,2021,Matchweek 16,West Ham,4
844,25,2021,Matchweek 16,Tottenham,6
845,24,2021,Matchweek 16,Man Utd,7
846,23,2021,Matchweek 16,Arsenal,3
847,21,2021,Matchweek 16,Wolves,2
848,20,2021,Matchweek 16,Brighton,3
849,19,2021,Matchweek 16,Aston Villa,6
850,19,2021,Matchweek 16,Leicester,4
851,18,2021,Matchweek 16,Everton,3
852,17,2021,Matchweek 16,Brentford,4
853,16,2021,Matchweek 16,Crystal Palace,0
854,16,2021,Matchweek 16,Leeds,5
855,16,2021,Matchweek 16,Southampton,2
856,13,2021,Matchweek 16,Burnley,4
857,13,2021,Matchweek 16,Watford,0
858,10,2021,Matchweek 16,Newcastle,4
859,10,2021,Matchweek 16,Norwich,2
860,38,2021,Matchweek 17,Man City,9
861,37,2021,Matchweek 17,Liverpool,9
862,36,2021,Matchweek 17,Chelsea,6
863,28,2021,Matchweek 17,West Ham,5
864,28,2021,Matchweek 17,Tottenham,9
865,27,2021,Matchweek 17,Man Utd,9
866,26,2021,Matchweek 17,Arsenal,3
867,22,2021,Matchweek 17,Leicester,4
868,21,2021,Matchweek 17,Wolves,1
869,20,2021,Matchweek 17,Brentford,4
870,20,2021,Matchweek 17,Brighton,2
871,19,2021,Matchweek 17,Crystal Palace,3
872,19,2021,Matchweek 17,Aston Villa,3
873,18,2021,Matchweek 17,Everton,3
874,16,2021,Matchweek 17,Leeds,4
875,16,2021,Matchweek 17,Southampton,2
876,14,2021,Matchweek 17,Burnley,2
877,13,2021,Matchweek 17,Watford,0
878,10,2021,Matchweek 17,Newcastle,4
879,10,2021,Matchweek 17,Norwich,1
880,41,2021,Matchweek 18,Man City,9
881,40,2021,Matchweek 18,Liverpool,9
882,37,2021,Matchweek 18,Chelsea,4
883,31,2021,Matchweek 18,Tottenham,9
884,30,2021,Matchweek 18,Man Utd,9
885,29,2021,Matchweek 18,Arsenal,6
886,28,2021,Matchweek 18,West Ham,4
887,24,2021,Matchweek 18,Wolves,3
888,22,2021,Matchweek 18,Leicester,3
889,22,2021,Matchweek 18,Aston Villa,6
890,20,2021,Matchweek 18,Crystal Palace,4
891,20,2021,Matchweek 18,Brentford,4
892,20,2021,Matchweek 18,Brighton,1
893,19,2021,Matchweek 18,Everton,4
894,17,2021,Matchweek 18,Southampton,2
895,16,2021,Matchweek 18,Leeds,1
896,15,2021,Matchweek 18,Burnley,2
897,14,2021,Matchweek 18,Watford,1
898,10,2021,Matchweek 18,Newcastle,3
899,10,2021,Matchweek 18,Norwich,0
900,44,2021,Matchweek 19,Man City,9
901,41,2021,Matchweek 19,Liverpool,7
902,38,2021,Matchweek 19,Chelsea,5
903,33,2021,Matchweek 19,Man Utd,9
904,32,2021,Matchweek 19,Arsenal,9
905,32,2021,Matchweek 19,Tottenham,7
906,31,2021,Matchweek 19,West Ham,4
907,25,2021,Matchweek 19,Wolves,4
908,23,2021,Matchweek 19,Crystal Palace,7
909,23,2021,Matchweek 19,Leicester,4
910,23,2021,Matchweek 19,Aston Villa,4
911,20,2021,Matchweek 19,Brentford,3
912,20,2021,Matchweek 19,Southampton,4
913,20,2021,Matchweek 19,Brighton,0
914,20,2021,Matchweek 19,Everton,2
915,16,2021,Matchweek 19,Burnley,3
916,16,2021,Matchweek 19,Leeds,0
917,14,2021,Matchweek 19,Watford,1
918,10,2021,Matchweek 19,Newcastle,0
919,10,2021,Matchweek 19,Norwich,0
920,47,2021,Matchweek 20,Man City,9
921,44,2021,Matchweek 20,Liverpool,7
922,41,2021,Matchweek 20,Chelsea,5
923,35,2021,Matchweek 20,Arsenal,9
924,35,2021,Matchweek 20,Tottenham,7
925,34,2021,Matchweek 20,Man Utd,7
926,31,2021,Matchweek 20,West Ham,3
927,28,2021,Matchweek 20,Wolves,7
928,23,2021,Matchweek 20,Crystal Palace,4
929,23,2021,Matchweek 20,Leicester,1
930,23,2021,Matchweek 20,Aston Villa,4
931,23,2021,Matchweek 20,Brighton,3
932,23,2021,Matchweek 20,Southampton,7
933,20,2021,Matchweek 20,Brentford,0
934,20,2021,Matchweek 20,Everton,2
935,19,2021,Matchweek 20,Burnley,5
936,16,2021,Matchweek 20,Leeds,0
937,14,2021,Matchweek 20,Watford,1
938,11,2021,Matchweek 20,Newcastle,1
939,10,2021,Matchweek 20,Norwich,0
940,50,2021,Matchweek 21,Man City,9
941,44,2021,Matchweek 21,Liverpool,4
942,42,2021,Matchweek 21,Chelsea,5
943,38,2021,Matchweek 21,Arsenal,9
944,37,2021,Matchweek 21,Man Utd,7
945,36,2021,Matchweek 21,Tottenham,5
946,34,2021,Matchweek 21,West Ham,6
947,28,2021,Matchweek 21,Wolves,4
948,26,2021,Matchweek 21,Crystal Palace,6
949,26,2021,Matchweek 21,Aston Villa,4
950,26,2021,Matchweek 21,Leicester,4
951,24,2021,Matchweek 21,Brighton,4
952,24,2021,Matchweek 21,Southampton,7
953,23,2021,Matchweek 21,Everton,4
954,20,2021,Matchweek 21,Brentford,0
955,19,2021,Matchweek 21,Burnley,4
956,16,2021,Matchweek 21,Leeds,0
957,14,2021,Matchweek 21,Watford,0
958,11,2021,Matchweek 21,Newcastle,1
959,10,2021,Matchweek 21,Norwich,0
960,53,2021,Matchweek 22,Man City,9
961,45,2021,Matchweek 22,Liverpool,4
962,43,2021,Matchweek 22,Chelsea,5
963,39,2021,Matchweek 22,Tottenham,7
964,38,2021,Matchweek 22,Arsenal,6
965,37,2021,Matchweek 22,West Ham,6
966,37,2021,Matchweek 22,Man Utd,4
967,31,2021,Matchweek 22,Wolves,6
968,29,2021,Matchweek 22,Leicester,6
969,27,2021,Matchweek 22,Brighton,7
970,26,2021,Matchweek 22,Crystal Palace,3
971,26,2021,Matchweek 22,Aston Villa,3
972,24,2021,Matchweek 22,Southampton,4
973,23,2021,Matchweek 22,Brentford,3
974,23,2021,Matchweek 22,Everton,3
975,19,2021,Matchweek 22,Burnley,3
976,19,2021,Matchweek 22,Leeds,3
977,14,2021,Matchweek 22,Watford,0
978,14,2021,Matchweek 22,Newcastle,4
979,10,2021,Matchweek 22,Norwich,0
980,56,2021,Matchweek 23,Man City,9
981,48,2021,Matchweek 23,Liverpool,4
982,43,2021,Matchweek 23,Chelsea,2
983,42,2021,Matchweek 23,Tottenham,7
984,38,2021,Matchweek 23,Man Utd,4
985,38,2021,Matchweek 23,Arsenal,3
986,37,2021,Matchweek 23,West Ham,6
987,34,2021,Matchweek 23,Wolves,6
988,32,2021,Matchweek 23,Leicester,9
989,28,2021,Matchweek 23,Brighton,5
990,27,2021,Matchweek 23,Crystal Palace,4
991,27,2021,Matchweek 23,Aston Villa,4
992,24,2021,Matchweek 23,Southampton,1
993,23,2021,Matchweek 23,Everton,3
994,23,2021,Matchweek 23,Brentford,3
995,22,2021,Matchweek 23,Leeds,6
996,19,2021,Matchweek 23,Burnley,0
997,15,2021,Matchweek 23,Watford,1
998,15,2021,Matchweek 23,Newcastle,4
999,13,2021,Matchweek 23,Norwich,3
1000,57,2021,Matchweek 24,Man City,7
1001,51,2021,Matchweek 24,Liverpool,7
1002,46,2021,Matchweek 24,Chelsea,4
1003,42,2021,Matchweek 24,Tottenham,6
1004,41,2021,Matchweek 24,Man Utd,4
1005,39,2021,Matchweek 24,Arsenal,1
1006,37,2021,Matchweek 24,West Ham,3
1007,37,2021,Matchweek 24,Wolves,9
1008,33,2021,Matchweek 24,Leicester,7
1009,30,2021,Matchweek 24,Aston Villa,4
1010,29,2021,Matchweek 24,Brighton,5
1011,27,2021,Matchweek 24,Crystal Palace,1
1012,25,2021,Matchweek 24,Southampton,1
1013,23,2021,Matchweek 24,Everton,0
1014,23,2021,Matchweek 24,Brentford,3
1015,22,2021,Matchweek 24,Leeds,6
1016,20,2021,Matchweek 24,Burnley,1
1017,18,2021,Matchweek 24,Newcastle,7
1018,16,2021,Matchweek 24,Norwich,6
1019,15,2021,Matchweek 24,Watford,1
1020,60,2021,Matchweek 25,Man City,7
1021,54,2021,Matchweek 25,Liverpool,9
1022,47,2021,Matchweek 25,Chelsea,4
1023,42,2021,Matchweek 25,Man Utd,5
1024,42,2021,Matchweek 25,Arsenal,4
1025,42,2021,Matchweek 25,Tottenham,3
1026,40,2021,Matchweek 25,West Ham,3
1027,37,2021,Matchweek 25,Wolves,6
1028,33,2021,Matchweek 25,Leicester,4
1029,31,2021,Matchweek 25,Aston Villa,5
1030,30,2021,Matchweek 25,Brighton,3
1031,28,2021,Matchweek 25,Crystal Palace,2
1032,28,2021,Matchweek 25,Southampton,4
1033,23,2021,Matchweek 25,Everton,0
1034,23,2021,Matchweek 25,Brentford,0
1035,23,2021,Matchweek 25,Leeds,4
1036,21,2021,Matchweek 25,Burnley,2
1037,21,2021,Matchweek 25,Newcastle,7
1038,17,2021,Matchweek 25,Norwich,7
1039,15,2021,Matchweek 25,Watford,1
1040,63,2021,Matchweek 26,Man City,7
1041,57,2021,Matchweek 26,Liverpool,9
1042,47,2021,Matchweek 26,Chelsea,4
1043,45,2021,Matchweek 26,Arsenal,7
1044,43,2021,Matchweek 26,Man Utd,5
1045,42,2021,Matchweek 26,Tottenham,0
1046,41,2021,Matchweek 26,West Ham,4
1047,40,2021,Matchweek 26,Wolves,6
1048,34,2021,Matchweek 26,Leicester,2
1049,33,2021,Matchweek 26,Brighton,5
1050,31,2021,Matchweek 26,Aston Villa,4
1051,29,2021,Matchweek 26,Crystal Palace,2
1052,29,2021,Matchweek 26,Southampton,5
1053,26,2021,Matchweek 26,Everton,3
1054,24,2021,Matchweek 26,Brentford,1
1055,24,2021,Matchweek 26,Newcastle,9
1056,23,2021,Matchweek 26,Leeds,1
1057,21,2021,Matchweek 26,Burnley,2
1058,17,2021,Matchweek 26,Norwich,4
1059,15,2021,Matchweek 26,Watford,0
1060,63,2021,Matchweek 27,Man City,6
1061,60,2021,Matchweek 27,Liverpool,9
1062,50,2021,Matchweek 27,Chelsea,4
1063,48,2021,Matchweek 27,Arsenal,9
1064,46,2021,Matchweek 27,Man Utd,5
1065,45,2021,Matchweek 27,Tottenham,3
1066,43,2021,Matchweek 27,Wolves,6
1067,42,2021,Matchweek 27,West Ham,5
1068,34,2021,Matchweek 27,Leicester,1
1069,33,2021,Matchweek 27,Brighton,4
1070,32,2021,Matchweek 27,Southampton,7
1071,31,2021,Matchweek 27,Aston Villa,1
1072,29,2021,Matchweek 27,Crystal Palace,2
1073,26,2021,Matchweek 27,Everton,3
1074,25,2021,Matchweek 27,Newcastle,7
1075,24,2021,Matchweek 27,Burnley,4
1076,24,2021,Matchweek 27,Brentford,1
1077,23,2021,Matchweek 27,Leeds,1
1078,18,2021,Matchweek 27,Watford,3
1079,17,2021,Matchweek 27,Norwich,1
1080,66,2021,Matchweek 28,Man City,6
1081,63,2021,Matchweek 28,Liverpool,9
1082,51,2021,Matchweek 28,Chelsea,4
1083,48,2021,Matchweek 28,Arsenal,6
1084,48,2021,Matchweek 28,Tottenham,6
1085,47,2021,Matchweek 28,Man Utd,5
1086,45,2021,Matchweek 28,West Ham,5
1087,43,2021,Matchweek 28,Wolves,6
1088,35,2021,Matchweek 28,Leicester,2
1089,35,2021,Matchweek 28,Southampton,7
1090,34,2021,Matchweek 28,Aston Villa,3
1091,33,2021,Matchweek 28,Brighton,3
1092,30,2021,Matchweek 28,Crystal Palace,2
1093,28,2021,Matchweek 28,Newcastle,7
1094,26,2021,Matchweek 28,Everton,3
1095,25,2021,Matchweek 28,Burnley,4
1096,24,2021,Matchweek 28,Brentford,1
1097,23,2021,Matchweek 28,Leeds,0
1098,19,2021,Matchweek 28,Watford,4
1099,17,2021,Matchweek 28,Norwich,0
1100,69,2021,Matchweek 29,Man City,6
1101,66,2021,Matchweek 29,Liverpool,9
1102,54,2021,Matchweek 29,Chelsea,7
1103,51,2021,Matchweek 29,Tottenham,9
1104,51,2021,Matchweek 29,Arsenal,6
1105,47,2021,Matchweek 29,Man Utd,4
1106,45,2021,Matchweek 29,West Ham,4
1107,43,2021,Matchweek 29,Wolves,3
1108,38,2021,Matchweek 29,Leicester,4
1109,37,2021,Matchweek 29,Aston Villa,6
1110,35,2021,Matchweek 29,Southampton,6
1111,33,2021,Matchweek 29,Crystal Palace,4
1112,33,2021,Matchweek 29,Brighton,0
1113,31,2021,Matchweek 29,Newcastle,7
1114,27,2021,Matchweek 29,Brentford,3
1115,26,2021,Matchweek 29,Everton,0
1116,25,2021,Matchweek 29,Burnley,4
1117,23,2021,Matchweek 29,Leeds,0
1118,19,2021,Matchweek 29,Watford,4
1119,17,2021,Matchweek 29,Norwich,0
1120,70,2021,Matchweek 30,Man City,7
1121,69,2021,Matchweek 30,Liverpool,9
1122,57,2021,Matchweek 30,Chelsea,7
1123,54,2021,Matchweek 30,Arsenal,6
1124,51,2021,Matchweek 30,Tottenham,6
1125,50,2021,Matchweek 30,Man Utd,4
1126,48,2021,Matchweek 30,West Ham,6
1127,46,2021,Matchweek 30,Wolves,3
1128,38,2021,Matchweek 30,Leicester,4
1129,37,2021,Matchweek 30,Aston Villa,6
1130,35,2021,Matchweek 30,Southampton,3
1131,34,2021,Matchweek 30,Crystal Palace,5
1132,33,2021,Matchweek 30,Brighton,0
1133,31,2021,Matchweek 30,Newcastle,6
1134,30,2021,Matchweek 30,Brentford,6
1135,26,2021,Matchweek 30,Everton,0
1136,26,2021,Matchweek 30,Leeds,3
1137,25,2021,Matchweek 30,Burnley,1
1138,22,2021,Matchweek 30,Watford,4
1139,17,2021,Matchweek 30,Norwich,0
1140,73,2021,Matchweek 31,Man City,7
1141,72,2021,Matchweek 31,Liverpool,9
1142,60,2021,Matchweek 31,Chelsea,9
1143,57,2021,Matchweek 31,Arsenal,9
1144,54,2021,Matchweek 31,Tottenham,6
1145,50,2021,Matchweek 31,Man Utd,3
1146,48,2021,Matchweek 31,West Ham,3
1147,46,2021,Matchweek 31,Wolves,3
1148,41,2021,Matchweek 31,Leicester,6
1149,37,2021,Matchweek 31,Aston Villa,3
1150,35,2021,Matchweek 31,Southampton,0
1151,34,2021,Matchweek 31,Crystal Palace,4
1152,34,2021,Matchweek 31,Newcastle,6
1153,33,2021,Matchweek 31,Brighton,0
1154,30,2021,Matchweek 31,Brentford,6
1155,29,2021,Matchweek 31,Leeds,6
1156,28,2021,Matchweek 31,Burnley,3
1157,27,2021,Matchweek 31,Everton,1
1158,23,2021,Matchweek 31,Watford,4
1159,17,2021,Matchweek 31,Norwich,0
1160,76,2021,Matchweek 32,Man City,7
1161,75,2021,Matchweek 32,Liverpool,9
1162,60,2021,Matchweek 32,Chelsea,6
1163,57,2021,Matchweek 32,Tottenham,6
1164,57,2021,Matchweek 32,Arsenal,6
1165,51,2021,Matchweek 32,West Ham,6
1166,51,2021,Matchweek 32,Man Utd,4
1167,49,2021,Matchweek 32,Wolves,6
1168,42,2021,Matchweek 32,Leicester,4
1169,37,2021,Matchweek 32,Crystal Palace,4
1170,37,2021,Matchweek 32,Aston Villa,0
1171,36,2021,Matchweek 32,Southampton,1
1172,34,2021,Matchweek 32,Brighton,1
1173,34,2021,Matchweek 32,Newcastle,3
1174,33,2021,Matchweek 32,Brentford,6
1175,30,2021,Matchweek 32,Leeds,7
1176,28,2021,Matchweek 32,Burnley,3
1177,27,2021,Matchweek 32,Everton,1
1178,23,2021,Matchweek 32,Watford,4
1179,18,2021,Matchweek 32,Norwich,1
1180,77,2021,Matchweek 33,Man City,7
1181,76,2021,Matchweek 33,Liverpool,7
1182,63,2021,Matchweek 33,Chelsea,6
1183,60,2021,Matchweek 33,Tottenham,9
1184,57,2021,Matchweek 33,Arsenal,3
1185,51,2021,Matchweek 33,West Ham,3
1186,51,2021,Matchweek 33,Man Utd,1
1187,49,2021,Matchweek 33,Wolves,3
1188,45,2021,Matchweek 33,Leicester,7
1189,37,2021,Matchweek 33,Crystal Palace,3
1190,37,2021,Matchweek 33,Aston Villa,0
1191,37,2021,Matchweek 33,Brighton,4
1192,37,2021,Matchweek 33,Newcastle,6
1193,36,2021,Matchweek 33,Brentford,6
1194,36,2021,Matchweek 33,Southampton,1
1195,33,2021,Matchweek 33,Leeds,7
1196,30,2021,Matchweek 33,Everton,4
1197,28,2021,Matchweek 33,Burnley,3
1198,23,2021,Matchweek 33,Watford,1
1199,21,2021,Matchweek 33,Norwich,4
1200,80,2021,Matchweek 34,Man City,7
1201,79,2021,Matchweek 34,Liverpool,7
1202,66,2021,Matchweek 34,Chelsea,6
1203,60,2021,Matchweek 34,Tottenham,6
1204,57,2021,Matchweek 34,Arsenal,0
1205,54,2021,Matchweek 34,Man Utd,4
1206,52,2021,Matchweek 34,West Ham,4
1207,49,2021,Matchweek 34,Wolves,3
1208,45,2021,Matchweek 34,Leicester,4
1209,40,2021,Matchweek 34,Brighton,7
1210,40,2021,Matchweek 34,Newcastle,6
1211,39,2021,Matchweek 34,Brentford,9
1212,39,2021,Matchweek 34,Southampton,4
1213,37,2021,Matchweek 34,Crystal Palace,3
1214,37,2021,Matchweek 34,Aston Villa,0
1215,33,2021,Matchweek 34,Everton,6
1216,33,2021,Matchweek 34,Leeds,4
1217,29,2021,Matchweek 34,Burnley,1
1218,23,2021,Matchweek 34,Watford,0
1219,21,2021,Matchweek 34,Norwich,4
1220,83,2021,Matchweek 35,Man City,7
1221,82,2021,Matchweek 35,Liverpool,7
1222,69,2021,Matchweek 35,Chelsea,9
1223,61,2021,Matchweek 35,Tottenham,4
1224,60,2021,Matchweek 35,Arsenal,3
1225,54,2021,Matchweek 35,Man Utd,3
1226,52,2021,Matchweek 35,West Ham,1
